engine_id,dtw diffusion,lcss diffusion,rmse diffusion,dtw rve,lcss rve,rmse rve
4,17.08695042312969,0.05263157894736842,0.21369588,22.71072711988783,0.02631578947368421,0.3231686
10,56.498119533706145,0.0,1.9039993,57.12963573984837,0.0,1.9427352
12,15.6350874293977,0.11842105263157894,0.17920388,17.03266632411834,0.14473684210526316,0.18449652
18,18.839133440627492,0.05263157894736842,0.2903917,33.708504315540154,0.0,0.7119443
22,30.368143245357768,0.0,0.59258884,17.837179840827936,0.05263157894736842,0.21805179
30,18.456746707896507,0.02631578947368421,0.28387478,42.35410091265763,0.039473684210526314,1.1387011
31,15.522251241801111,0.10526315789473684,0.17854574,19.52260736730206,0.039473684210526314,0.23880464
33,24.18021157245671,0.013157894736842105,0.44966826,32.08724455535718,0.0,0.6451073
39,24.657115040897178,0.0,0.42716634,36.20489298970505,0.0,0.8212996
44,15.49482873159142,0.13157894736842105,0.1786871,19.437539962356652,0.05263157894736842,0.23672803
45,23.703421520152773,0.0,0.40627798,27.688262765069393,0.02631578947368421,0.4814153
53,23.319404675687892,0.0,0.3925768,20.878868067355775,0.013157894736842105,0.27713507
70,17.638855533917063,0.013157894736842105,0.21357757,17.65982713648904,0.039473684210526314,0.19941671
73,21.862364017419804,0.013157894736842105,0.35935462,25.548766151665532,0.10526315789473684,0.4160817
76,15.80974459211842,0.10526315789473684,0.1836207,21.413719753295616,0.0,0.28731036
77,18.02059808646635,0.06578947368421052,0.2394587,35.75640772253454,0.0,0.80107814
80,17.432665108112307,0.07894736842105263,0.20823057,18.049931576408763,0.02631578947368421,0.2049968
83,21.413616961112496,0.013157894736842105,0.30904374,20.44099635705814,0.0,0.26552585
90,32.15772766722411,0.0,0.6692109,19.68944047650497,0.013157894736842105,0.24563268
